username,content_id,last_seen,customer_id
2100332780,737259,2018-12-20T14:28:06Z,9792873
2102928132,717968,2018-10-01T12:15:53Z,9792873
2102413302,730176,2018-11-09T15:30:20Z,9792873
2101834410,702753,2018-08-16T21:18:23Z,9792873
2103388387,737255,2018-12-20T10:10:10Z,9792873
2103445526,725881,2018-10-29T13:38:20Z,9792873
2103554937,715438,2018-09-19T17:33:18Z,9792873
2100269000,724953,2018-10-24T19:45:35Z,9792873
2102528479,724978,2018-10-25T15:56:42Z,9792873
2102430550,717437,2018-09-21T13:37:31Z,9792873